V_m,p
1.421015039220071912e+03,1.550000000000000000e+01
1.332201599268817517e+03,1.650000000000000000e+01
1.243388159317563122e+03,1.750000000000000000e+01
1.154574719366308500e+03,1.850000000000000000e+01
1.065761279415054105e+03,1.975000000000000000e+01
9.769478394637994825e+02,2.112500000000000000e+01
8.881343995125449737e+02,2.287500000000000000e+01
7.993209595612904650e+02,2.450000000000000000e+01
7.105075196100359562e+02,2.637500000000000000e+01
6.216940796587815612e+02,2.850000000000000000e+01
5.328806397075270525e+02,3.062500000000000000e+01
4.973552637270252035e+02,3.150000000000000000e+01
4.618298877465234114e+02,3.250000000000000000e+01
4.263045117660215624e+02,3.337500000000000000e+01
3.907791357855198271e+02,3.387500000000000000e+01
3.552537598050179781e+02,3.412500000000000000e+01
3.197283838245161860e+02,3.437500000000000000e+01
2.842030078440143939e+02,3.437500000000000000e+01
2.486776318635126017e+02,3.437500000000000000e+01
2.131522558830107812e+02,3.437500000000000000e+01
1.776268799025089891e+02,3.475000000000000000e+01
1.421015039220071969e+02,4.400000000000000000e+01
