T,L,err_T,err_L
2.500000000000000000e+01,8.970259185627636907e+04,2.828427124746190624e-01,-9.403049011400800737e+03
3.000000000000000000e+01,8.626535569241571648e+04,2.828427124746190624e-01,-3.709523065989234055e+03
3.500000000000000000e+01,6.778678399236826226e+04,2.828427124746190624e-01,-1.976307382828844493e+04
4.000000000000000000e+01,5.758029040241648181e+04,2.828427124746190624e-01,-2.908243843302821006e+03
4.250000000000000000e+01,4.335329798891503015e+04,2.828427124746190624e-01,-9.694092135201884957e+03
