V_m,p
1.418557648421975045e+03,1.400000000000000000e+01
1.329897795395601634e+03,1.475000000000000000e+01
1.241237942369228222e+03,1.550000000000000000e+01
1.152578089342854810e+03,1.650000000000000000e+01
1.063918236316481170e+03,1.750000000000000000e+01
9.752583832901078722e+02,1.850000000000000000e+01
8.865985302637343466e+02,1.975000000000000000e+01
7.979386772373609347e+02,2.100000000000000000e+01
7.092788242109875227e+02,2.225000000000000000e+01
6.206189711846141108e+02,2.250000000000000000e+01
5.319591181582405852e+02,2.250000000000000000e+01
4.964951769476912204e+02,2.250000000000000000e+01
4.610312357371419125e+02,2.250000000000000000e+01
4.255672945265924909e+02,2.275000000000000000e+01
3.901033533160431830e+02,2.275000000000000000e+01
3.546394121054937614e+02,2.275000000000000000e+01
3.191754708949443966e+02,2.275000000000000000e+01
2.837115296843950318e+02,2.275000000000000000e+01
2.482475884738456102e+02,2.300000000000000000e+01
2.127836472632962455e+02,2.300000000000000000e+01
1.773197060527468807e+02,2.350000000000000000e+01
1.418557648421975159e+02,2.350000000000000000e+01
1.152578089342854781e+02,4.500000000000000000e+01
