V_m,p
1.421015039220072662e+00,1.612500000000000000e+01
1.385489663239570790e+00,1.650000000000000000e+01
1.349964287259068918e+00,1.700000000000000000e+01
1.314438911278567268e+00,1.750000000000000000e+01
1.278913535298065396e+00,1.787500000000000000e+01
1.243388159317563524e+00,1.825000000000000000e+01
1.207862783337061652e+00,1.862500000000000000e+01
1.172337407356560002e+00,1.912500000000000000e+01
1.136812031376058352e+00,1.950000000000000000e+01
1.101286655395556480e+00,2.025000000000000000e+01
1.065761279415054608e+00,2.087500000000000000e+01
1.030235903434552736e+00,2.137500000000000000e+01
9.947105274540508635e-01,2.200000000000000000e+01
9.591851514735491024e-01,2.250000000000000000e+01
9.236597754930473414e-01,2.312500000000000000e+01
8.881343995125454693e-01,2.400000000000000000e+01
8.526090235320435973e-01,2.450000000000000000e+01
8.170836475515417252e-01,2.550000000000000000e+01
7.815582715710399642e-01,2.600000000000000000e+01
7.460328955905382031e-01,2.700000000000000000e+01
7.105075196100363311e-01,2.787500000000000000e+01
6.749821436295344590e-01,2.875000000000000000e+01
6.394567676490326980e-01,2.987500000000000000e+01
6.039313916685308259e-01,3.075000000000000000e+01
5.684060156880291759e-01,3.200000000000000000e+01
5.328806397075273038e-01,3.300000000000000000e+01
4.973552637270254317e-01,3.400000000000000000e+01
4.618298877465236707e-01,3.512500000000000000e+01
4.263045117660217986e-01,3.612500000000000000e+01
3.907791357855199821e-01,3.712500000000000000e+01
3.552537598050181655e-01,3.812500000000000000e+01
3.197283838245163490e-01,3.887500000000000000e+01
2.842030078440145879e-01,3.987500000000000000e+01
2.486776318635127159e-01,4.050000000000000000e+01
2.131522558830108993e-01,4.125000000000000000e+01
1.776268799025090828e-01,4.300000000000000000e+01
