V_m,p
1.421015039220071912e+03,1.450000000000000000e+01
1.332201599268817517e+03,1.537500000000000000e+01
1.243388159317563122e+03,1.600000000000000000e+01
1.154574719366308500e+03,1.700000000000000000e+01
1.065761279415054105e+03,1.825000000000000000e+01
9.769478394637994825e+02,1.950000000000000000e+01
8.881343995125449737e+02,2.087500000000000000e+01
7.993209595612904650e+02,2.212500000000000000e+01
7.105075196100359562e+02,2.362500000000000000e+01
6.216940796587815612e+02,2.500000000000000000e+01
5.328806397075270525e+02,2.512500000000000000e+01
4.973552637270252035e+02,2.512500000000000000e+01
4.618298877465234114e+02,2.525000000000000000e+01
4.263045117660215624e+02,2.525000000000000000e+01
3.907791357855198271e+02,2.525000000000000000e+01
3.552537598050179781e+02,2.525000000000000000e+01
3.197283838245161860e+02,2.512500000000000000e+01
2.842030078440143939e+02,2.512500000000000000e+01
2.486776318635126017e+02,2.537500000000000000e+01
2.131522558830107812e+02,2.525000000000000000e+01
1.776268799025089891e+02,2.550000000000000000e+01
1.421015039220071969e+02,2.575000000000000000e+01
1.243388159317563009e+02,4.350000000000000000e+01
