V ,p_ab,p_auf
4,13.7,13.7
3.75,14.5,14.6
3.5,15.5,15.5
3.25,16.5,16.5
3,17.7,17.7
2.75,19.1,19.1
2.5,20.40,20.5
2.25,22,22
2,23.8,23.7
1.75,25.7,25.5
1.5,27.7,27.7
1.4,28.4,28.1
1.3,29.3,28
1.2,29.5,28.2
1.1,29.5,28.4
1,29.5,28.8
0.9,29.6,28.8
0.8,29.6,28.8
0.7,29.7,28.8
0.6,29.7,29.2
0.5,30.9,29.6
0.4,32.1,30.5
