V ,p_ab,p_auf
4,15.2,15.2
3.9,15.6,15.6
3.8,16,16
3.7,16.4,16.4
3.6,16.8,16.9
3.5,17.3,17.2
3.4,17.8,17.7
3.3,18.2,18.1
3.2,18.7,18.6
3.1,19.3,19.2
3,19.8,19.6
2.9,20.4,20
2.8,20.9,20.9
2.7,21.5,21.5
2.6,22.2,22.1
2.5,22.9,22.9
2.4,23.6,23.7
2.3,24.4,24.2
2.2,25.3,24.2
2.1,26.1,26.1
2,27.1,27
1.9,28.1,27.9
1.8,29.1,29
1.7,29.1,30.1
1.6,31.5,31.2
1.5,32.9,32.6
1.4,34.2,34
1.3,35.4,35.1
1.2,37,36.9
1.1,38.3,38.1
1,39.9,39.6
0.9,41.2,41
0.8,43,42.2
0.7,44,43.7
0.6,46,46
