V_m,p
1.592140880373844603e+00,1.444999999999999929e+01
1.492632075350479592e+00,1.534999999999999964e+01
1.393123270327114138e+00,1.629999999999999716e+01
1.293614465303748906e+00,1.750000000000000000e+01
1.194105660280383452e+00,1.864999999999999858e+01
1.094596855257018220e+00,2.014999999999999858e+01
9.950880502336528766e-01,2.155000000000000071e+01
8.955792452102876444e-01,2.339999999999999858e+01
7.960704401869223013e-01,2.539999999999999858e+01
6.965616351635570691e-01,2.710000000000000142e+01
5.970528301401917259e-01,2.969999999999999929e+01
5.572493081308456109e-01,3.125000000000000000e+01
5.174457861214994958e-01,3.220000000000000284e+01
4.776422641121533808e-01,3.340000000000000568e+01
4.378387421028073212e-01,3.439999999999999858e+01
3.980352200934611506e-01,3.525000000000000000e+01
3.582316980841147025e-01,3.589999999999999858e+01
3.184281760747685319e-01,3.639999999999999858e+01
2.786246540654224169e-01,3.660000000000000142e+01
2.388211320560763018e-01,3.689999999999999858e+01
1.990176100467305753e-01,3.759999999999999432e+01
1.592140880373844880e-01,4.570000000000000284e+01
