V_m,p
1.418557648421975070e+00,1.450000000000000000e+01
1.329897795395601712e+00,1.600000000000000000e+01
1.241237942369228353e+00,1.700000000000000000e+01
1.152578089342854772e+00,1.800000000000000000e+01
1.063918236316481192e+00,1.950000000000000000e+01
9.752583832901079441e-01,2.050000000000000000e+01
8.865985302637343635e-01,2.200000000000000000e+01
7.979386772373610048e-01,2.400000000000000000e+01
7.092788242109875352e-01,2.550000000000000000e+01
6.206189711846141766e-01,2.750000000000000000e+01
5.319591181582405959e-01,2.950000000000000000e+01
4.964951769476912413e-01,3.050000000000000000e+01
4.610312357371419423e-01,3.100000000000000000e+01
4.255672945265924767e-01,3.200000000000000000e+01
3.901033533160431777e-01,3.225000000000000000e+01
3.546394121054937676e-01,3.225000000000000000e+01
3.191754708949444130e-01,3.250000000000000000e+01
2.837115296843950585e-01,3.250000000000000000e+01
2.482475884738456207e-01,3.250000000000000000e+01
2.127836472632962383e-01,3.250000000000000000e+01
1.773197060527468838e-01,3.250000000000000000e+01
1.418557648421975292e-01,3.400000000000000000e+01
1.329897795395601490e-01,4.500000000000000000e+01
