V ,p_ab,p_auf
4,14.5,14.4
3.75,15.5,15.2
3.5,16.4,16.2
3.25,17.6,17.4
3,18.7,18.6
2.75,20.1,20.2
2.5,21.6,21.5
2.25,23.4,23.4
2,25.4,25.4
1.75,26.7,27.5
1.5,29.2,30.2
1.4,31.3,31.2
1.3,32.4,32
1.2,33.6,33.2
1.1,34.5,34.3
1,35.5,35
0.899999999999999,36.3,35.5
0.799999999999999,36.8,36
0.699999999999999,37,36.2
0.599999999999999,37.3,36.5
0.5,37.8,37.4
0.4,45.7,45.7
