t,p,err_t,err_p
3.354016434680530314e-03,2.282692307692307665e+01,4.499770497642838412e-06,8.820426775833676292e-01
3.298697014679202039e-03,2.528125000000000000e+01,4.352560797861392312e-06,7.143082599972065960e-01
3.245172805451890675e-03,2.928750000000000142e+01,4.212458614897797237e-06,1.107982612533332745e+00
3.193357815743254162e-03,3.242857142857143060e+01,4.079013655747411198e-06,6.844277783908293555e-01
3.168065895770632440e-03,3.439583333333333570e+01,4.014656607977991551e-06,8.270236145058097454e-01
