V,p_ab,p_auf
4,14,14
3.75,14.5,15
3.5,15.5,15.5
3.25,16.5,16.5
3,17.5,17.5
2.75,18.5,18.5
2.5,19.5,20
2.25,21,21
2,22.5,22
1.75,22.5,22.5
1.5,22.5,22.5
1.4,22.5,22.5
1.3,22.5,22.5
1.2,23,22.5
1.1,23,22.5
1,23,22.5
0.9,23,22.5
0.8,23,22.5
0.7,23.5,22.5
0.6,23.5,22.5
0.5,24,23
0.4,24,23
0.325,45, NaN
