V,p_ab,p_auf
4,14,15
3.75,16,16
3.5,17,17
3.25,18,18
3,19.5,19.5
2.75,20.5,20.5
2.5,22,22
2.25,24,24
2,25.5,25.5
1.75,27.5,27.5
1.5,29.5,29.5
1.4,30.5,30.5
1.3,31,31
1.2,32,32
1.1,32.5,32
1,32.5,32
0.9,32.5,32.5
0.8,32.5,32.5
0.7,32.5,32.5
0.6,32.5,32.5
0.5,32.5,32.5
0.4,35,33
0.375,45, NaN
