t,R
0,3.2
5,3.54
10,3.84
15,4.16
20,4.41
25,4.65
30,4.87
35,5.08
40,5.26
45,5.45
50,5.7
55,5.93
60,6.17
65,6.32
70,6.46
75,6.58
80,6.69
85,6.83
90,6.93
95,7.04
100,7.12
105,7.25
110,7.4
115,7.54
120,7.64
125,7.7
130,7.8
135,7.86
140,7.92
145,7.97
150,8.02
155,8.06
160,8.1
165,8.14
170,8.09
175,7.6
180,7.28
185,7.15
190,7.08
195,7.06
200,7.05
205,7.03
210,7.03
215,7.02
220,7.02
225,7.02
230,7.02
