t,R
0,4.89
5,5.1
10,5.32
15,5.5
20,5.64
25,5.77
30,5.89
35,5.98
40,6.08
45,6.17
50,6.27
55,6.33
60,6.41
65,6.48
70,6.55
75,6.61
80,6.67
85,6.73
90,6.79
95,6.83
100,6.88
105,6.92
110,6.97
115,7.01
120,7.06
125,7.1
130,7.14
135,7.18
140,7.21
145,7.25
150,7.21
155,6.94
160,6.78
165,6.71
170,6.69
175,6.67
180,6.67
185,6.66
190,6.66
195,6.66
