MIN=0	-1	-1
MAX=160	1	1
SCALE=160	0,5	0,5
DEC=2	3	3
DEF="Zeit" t / s	"Spannung" U_A1 / V	"Spannung" U_B1 / V
0	0,3585	-0,152
0,05	0,35	-0,116
0,1	0,3485	-0,0675
0,15	0,3415	-0,0135
0,2	0,337	0,0435
0,25	0,331	0,0995
0,3	0,3345	0,1595
0,35	0,335	0,2165
0,4	0,342	0,277
0,45	0,3455	0,328
0,5	0,3555	0,3745
0,55	0,3655	0,413
0,6	0,377	0,4445
0,65	0,3885	0,4665
0,7	0,404	0,483
0,75	0,4165	0,4895
0,8	0,4325	0,486
0,85	0,4445	0,4665
0,9	0,459	0,444
0,95	0,4715	0,4095
1	0,481	0,366
1,05	0,49	0,319
1,1	0,4965	0,27
1,15	0,4995	0,2115
1,2	0,5035	0,1545
1,25	0,5	0,095
1,3	0,498	0,035
1,35	0,4915	-0,022
1,4	0,484	-0,0705
1,45	0,472	-0,1175
1,5	0,4605	-0,1565
1,55	0,4465	-0,187
1,6	0,433	-0,2075
1,65	0,4175	-0,22
1,7	0,4005	-0,222
1,75	0,384	-0,215
1,8	0,369	-0,196
1,85	0,3525	-0,175
1,9	0,3365	-0,135
1,95	0,3245	-0,098
2	0,314	-0,0495
2,05	0,306	0,004
2,1	0,302	0,0575
2,15	0,3015	0,1145
2,2	0,3045	0,174
2,25	0,308	0,232
2,3	0,316	0,2855
2,35	0,3235	0,3315
2,4	0,3345	0,3765
2,45	0,346	0,412
2,5	0,3625	0,442
2,55	0,3815	0,4635
2,6	0,4025	0,4745
2,65	0,42	0,476
2,7	0,4415	0,4695
2,75	0,4595	0,4515
2,8	0,4775	0,427
2,85	0,495	0,3905
2,9	0,511	0,349
2,95	0,5195	0,3
3	0,5285	0,25
3,05	0,5345	0,1955
3,1	0,5375	0,1405
3,15	0,5385	0,0815
3,2	0,534	0,024
3,25	0,5235	-0,027
3,3	0,511	-0,074
3,35	0,497	-0,117
3,4	0,481	-0,1545
3,45	0,463	-0,1805
3,5	0,442	-0,199
3,55	0,4185	-0,2075
3,6	0,3975	-0,2105
3,65	0,3765	-0,202
3,7	0,3535	-0,1845
3,75	0,334	-0,157
3,8	0,3135	-0,1195
3,85	0,2985	-0,0765
3,9	0,284	-0,03
3,95	0,273	0,0195
4	0,2675	0,071
4,05	0,266	0,1295
4,1	0,2665	0,187
4,15	0,2715	0,2395
4,2	0,28	0,288
4,25	0,2925	0,337
4,3	0,3105	0,3785
4,35	0,333	0,4115
4,4	0,3535	0,436
4,45	0,379	0,4555
4,5	0,4005	0,4625
