r,w_gl,w_geg,w_S,w_M,K,err_K
2.819999999999999729e-01,3.278690308911252682e+00,3.382860937777984134e+00,5.208531443336572586e-02,3.330775623344618630e+00,3.126754053025260216e-02,3.720126610297549725e-03
5.320000000000000284e-01,3.280776686716929902e+00,3.622488498511298172e+00,1.708559058971841349e-01,3.451632592614114259e+00,9.875807140754677693e-02,3.566202725765777858e-03
7.820000000000000284e-01,3.281732613965910872e+00,3.975708448958394481e+00,3.469879174962418045e-01,3.628720531462152898e+00,1.895124803055114049e-01,3.324855841980469112e-03
1.022000000000000020e+00,3.280838487889898403e+00,4.391834398560194863e+00,5.554979553351482302e-01,3.836336443225046633e+00,2.836508997086814587e-01,3.035842348379823221e-03
