MIN=0	-1	-1
MAX=113,137084989848	1	1
SCALE=113,137084989848	0,5	0,5
DEC=2	3	3
DEF="Zeit" t / s	"Spannung" U_A1 / V	"Spannung" U_B1 / V
0	0,11	0,161
0,05	0,0615	0,1655
0,1	0,019	0,1695
0,15	-0,0155	0,177
0,2	-0,045	0,183
0,25	-0,063	0,1915
0,3	-0,071	0,2025
0,35	-0,071	0,213
0,4	-0,061	0,224
0,45	-0,04	0,2345
0,5	-0,013	0,2435
0,55	0,0255	0,2525
0,6	0,0725	0,264
0,65	0,1255	0,273
0,7	0,1795	0,2805
0,75	0,237	0,285
0,8	0,2935	0,291
0,85	0,3485	0,3005
0,9	0,401	0,301
0,95	0,45	0,3075
1	0,491	0,3145
1,05	0,525	0,323
1,1	0,547	0,33
1,15	0,5605	0,3375
1,2	0,5655	0,342
1,25	0,5595	0,349
1,3	0,544	0,354
1,35	0,521	0,359
1,4	0,485	0,3655
1,45	0,443	0,366
1,5	0,3955	0,3665
1,55	0,345	0,363
1,6	0,2895	0,357
1,65	0,236	0,349
1,7	0,182	0,3405
1,75	0,132	0,327
1,8	0,084	0,3095
1,85	0,04	0,292
1,9	0,0035	0,273
1,95	-0,021	0,2515
2	-0,0395	0,2265
2,05	-0,05	0,2025
2,1	-0,0495	0,181
2,15	-0,04	0,1605
2,2	-0,02	0,138
2,25	0,008	0,1215
2,3	0,0395	0,105
2,35	0,077	0,0955
2,4	0,1205	0,0895
2,45	0,167	0,092
2,5	0,218	0,1015
2,55	0,264	0,1105
2,6	0,3115	0,1295
2,65	0,353	0,154
2,7	0,391	0,18
2,75	0,426	0,2105
2,8	0,4545	0,2445
2,85	0,474	0,282
2,9	0,486	0,3165
2,95	0,49	0,3555
3	0,487	0,3965
3,05	0,475	0,4295
3,1	0,457	0,459
3,15	0,433	0,4825
3,2	0,404	0,501
3,25	0,373	0,5125
3,3	0,3395	0,518
3,35	0,3005	0,5165
3,4	0,2655	0,5065
3,45	0,23	0,4905
3,5	0,1955	0,4655
3,55	0,163	0,4345
3,6	0,136	0,396
3,65	0,1155	0,3535
3,7	0,097	0,308
3,75	0,0825	0,2595
3,8	0,0755	0,2105
3,85	0,071	0,1625
3,9	0,0745	0,118
3,95	0,082	0,0755
4	0,0955	0,041
4,05	0,1095	0,009
4,1	0,131	-0,01
4,15	0,1505	-0,023
4,2	0,1705	-0,023
4,25	0,194	-0,017
4,3	0,2195	-0,0005
4,35	0,236	0,021
4,4	0,2565	0,058
4,45	0,2735	0,097
4,5	0,292	0,146
4,55	0,3025	0,196
4,6	0,314	0,251
4,65	0,3215	0,3045
4,7	0,328	0,3595
4,75	0,3295	0,4115
4,8	0,3335	0,4625
4,85	0,3315	0,5035
4,9	0,3295	0,537
4,95	0,324	0,5625
5	0,323	0,583
5,05	0,317	0,59
5,1	0,312	0,59
5,15	0,3055	0,577
5,2	0,2985	0,5575
5,25	0,291	0,5275
5,3	0,288	0,491
5,35	0,284	0,4435
5,4	0,277	0,3935
5,45	0,2705	0,3355
5,5	0,2665	0,281
5,55	0,256	0,223
5,6	0,251	0,1665
5,65	0,2425	0,1125
5,7	0,2335	0,0705
5,75	0,2245	0,0285
5,8	0,213	-0,0035
5,85	0,203	-0,027
5,9	0,193	-0,04
5,95	0,1785	-0,0435
6	0,169	-0,0375
6,05	0,1575	-0,0195
6,1	0,148	0,008
6,15	0,1395	0,0395
6,2	0,135	0,0815
6,25	0,128	0,124
6,3	0,127	0,176
6,35	0,1305	0,2285
6,4	0,138	0,2845
6,45	0,1445	0,335
6,5	0,1595	0,3865
6,55	0,1755	0,4315
6,6	0,196	0,473
6,65	0,2155	0,5035
6,7	0,2405	0,53
6,75	0,2665	0,5445
6,8	0,297	0,5525
6,85	0,322	0,5485
6,9	0,3525	0,541
6,95	0,373	0,523
7	0,3955	0,499
7,05	0,413	0,4675
7,1	0,4285	0,431
7,15	0,4365	0,3895
7,2	0,4445	0,3465
7,25	0,441	0,2985
7,3	0,434	0,255
7,35	0,418	0,209
7,4	0,3975	0,174
7,45	0,3705	0,1355
7,5	0,341	0,11
7,55	0,305	0,082
7,6	0,27	0,064
7,65	0,228	0,05
7,7	0,1875	0,0495
7,75	0,1455	0,0525
7,8	0,108	0,0605
7,85	0,069	0,0745
7,9	0,0395	0,0975
7,95	0,0145	0,1235
8	-0,0025	0,154
8,05	-0,0135	0,1815
8,1	-0,018	0,217
8,15	-0,0165	0,251
8,2	-0,0025	0,2845
8,25	0,0155	0,31
8,3	0,046	0,3375
8,35	0,082	0,362
8,4	0,129	0,3855
8,45	0,173	0,399
8,5	0,223	0,411
8,55	0,274	0,414
8,6	0,3255	0,4185
8,65	0,3755	0,419
8,7	0,421	0,4145
8,75	0,4615	0,403
8,8	0,4975	0,39
8,85	0,524	0,375
8,9	0,5455	0,3615
8,95	0,5525	0,34
9	0,5545	0,325
9,05	0,542	0,305
9,1	0,5245	0,2905
9,15	0,4935	0,271
9,2	0,4575	0,2595
9,25	0,414	0,245
9,3	0,364	0,234
9,35	0,3095	0,2225
9,4	0,2525	0,2165
9,45	0,197	0,2095
9,5	0,141	0,2075
9,55	0,088	0,2045
9,6	0,043	0,2065
9,65	0,003	0,2055
9,7	-0,0275	0,2055
9,75	-0,054	0,2055
9,8	-0,0675	0,2075
9,85	-0,074	0,206
9,9	-0,0675	0,2075
9,95	-0,054	0,2055
10	-0,0275	0,2105
10,05	0,002	0,2105
10,1	0,041	0,2125
10,15	0,087	0,215
10,2	0,1435	0,222
10,25	0,1975	0,2275
10,3	0,256	0,2345
10,35	0,312	0,243
10,4	0,368	0,2535
10,45	0,413	0,2645
10,5	0,4595	0,2785
10,55	0,4955	0,2905
10,6	0,5265	0,306
10,65	0,5425	0,3185
10,7	0,553	0,336
10,75	0,551	0,3505
10,8	0,5445	0,367
10,85	0,5265	0,3805
10,9	0,498	0,3925
10,95	0,4635	0,4015
11	0,4225	0,411
11,05	0,372	0,4135
11,1	0,325	0,413
11,15	0,2705	0,4045
