t,R
0,3.31
5,3.57
10,3.86
15,4.17
20,4.32
25,4.5
30,4.7
35,4.85
40,5
45,5.15
50,5.31
55,5.41
60,5.52
65,5.62
70,5.72
75,5.82
80,5.91
85,5.99
90,6.06
95,6.15
100,6.21
105,6.34
110,6.4
115,6.45
120,6.49
125,6.55
130,6.6
135,6.65
140,6.69
145,6.75
150,6.79
155,6.82
160,6.85
165,6.89
170,6.92
175,6.95
180,6.99
185,7.02
190,7.04
195,7.07
200,7.09
205,7.11
210,6.91
215,6.79
220,6.71
225,6.68
230,6.67
235,6.67
240,6.66
245,6.66
250,6.66
