t,R
0,5.13
5,5.31
10,5.5
15,5.65
20,5.82
25,5.93
30,6.03
35,6.16
40,6.3
45,6.38
50,6.46
55,6.54
60,6.63
65,6.7
70,6.77
75,6.83
80,6.89
85,6.95
90,7.01
95,7.05
100,7.1
105,7.17
110,7.2
115,7.02
120,6.87
125,6.77
130,6.71
135,6.69
140,6.67
145,6.67
150,6.67
155,6.67
160,6.67
