T,R
-4.5,8.15
-4.3,8.08
-4.1,8.02
-4,7.98
-3.9,7.93
-3.7,7.88
-3.5,7.81
-3.3,7.76
-3.2,7.71
-3.1,7.66
-3,7.63
-2.7,7.53
-2.6,7.49
-2.5,7.45
-2.3,7.4
-2.1,7.32
-2,7.3
-1.8,7.24
-1.7,7.19
-1.5,7.14
-1.3,7.09
-1.2,7.03
-1,6.98
-0.8,6.91
-0.7,6.88
-0.5,6.82
-0.2,6.75
0,6.69
0.2,6.64
0.4,6.58
0.6,6.53
0.8,6.46
1,6.4
1.2,6.34
1.3,6.3
1.5,6.26
1.7,6.21
1.8,6.18
2,6.13
2.3,6.04
